id,title,genres,runtime,vote_average,vote_count,overview,year
649,Belle de Jour,"['drama', 'romance']",101.0,7.3,163.0,"Beautiful young housewife Séverine Serizy cannot reconcile her masochistic fantasies with her everyday life alongside dutiful husband Pierre. When her lovestruck friend Henri mentions a secretive high-class brothel run by Madame Anais, Séverine begins to work there during the day under the name Belle de Jour. But when one of her clients grows possessive, she must try to go back to her normal life.",1967
1873,Beyond Rangoon,"['drama', 'thriller']",100.0,6.4,21.0,"Patricia Arquette stars as American widow Laura Bowman, a young doctor who's unwittingly drawn into political turmoil while vacationing in Burma in the late 1980s, in this fictionalized drama based on actual events. Bowman initially left San Francisco with her sister (Frances McDormand) in an attempt to escape painful memories of her husband and son's violent deaths. But her fight to escape to Thailand could prove just as harrowing.",1995
5894,Blue in the Face,['comedy'],83.0,6.8,28.0,"Auggie runs a small tobacco shop in Brooklyn, New York. The whole neighborhood comes to visit him to buy cigarettes and have some small talk. During the movie Lou Reed tries to explain why he has to have a cut on his health insurance bill if he keeps smoking and Madonna acts as a Singing Telegram.",1995
1775,Canadian Bacon,"['action', 'comedy']",91.0,5.9,57.0,Canadian Bacon is the only fictitious film from Director Michael Moore. This comedy is about an American president who decides to go to war to bring the public’s opinion of him up during election time. Canadian Bacon is actor John Candy’s last film.,1995
8839,Casper,"['fantasy', 'comedy', 'family']",100.0,6.0,1045.0,"Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. But when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey to exorcise the ghosts from the mansion. Harvey and his daughter Kat move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know."" But not so friendly are Casper's uncles--Stretch, Fatso and Stinkie--who are determined to drive all ""fleshies"" away.",1995
20649,Clockers,"['mystery', 'crime', 'drama']",128.0,6.8,69.0,"Strike is a young city drug pusher under the tutelage of drug-lord Rodney Little.When a night man at a fast-food restaurant is found with four bullets in his body, Strike's older brother turns himself in as the killer. Det. Rocco Klein doesn't buy the story, however, and sets out to find the truth, and it seems that all the fingers point toward Strike &amp; Rodney.",1995
10329,Congo,"['action', 'adventure', 'drama', 'mystery', 'science fiction', 'thriller']",109.0,5.0,214.0,"Eight people embark on an expedition into the Congo, a mysterious expanse of unexplored Africa where human greed and the laws of nature have gone berserk. When the thrill-seekers -- some with ulterior motives -- stumble across a race of killer apes.",1995
8963,Crimson Tide,"['action', 'thriller', 'drama']",116.0,7.0,508.0,"On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so.",1995
26564,Crumb,['documentary'],119.0,7.6,71.0,"This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind.",1994
8068,Desperado,"['thriller', 'action', 'crime']",104.0,6.8,898.0,A gunslinger is embroiled in a war with a local drug runner.,1995
8512,Devil in a Blue Dress,"['drama', 'mystery', 'thriller']",102.0,6.3,88.0,"In late 1940s Los Angeles, Easy Rawlins is an unemployed black World War II veteran with few job prospects. At a bar, Easy meets DeWitt Albright, a mysterious white man looking for someone to investigate the disappearance of a missing white woman named Daphne Monet, who he suspects is hiding out in one of the city's black jazz clubs. Strapped for money and facing house payments, Easy takes the job, but soon finds himself in over his head.",1995
1572,Die Hard: With a Vengeance,"['action', 'thriller']",128.0,6.9,2094.0,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",1995
13552,The Doom Generation,"['action', 'comedy', 'crime', 'drama']",80.0,5.6,57.0,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex and violence-filled journey through an America of psychos and quickiemarts.",1995
259209,Feast of July,"['drama', 'crime']",116.0,0.0,0.0,"After an abandoned young woman in late 19th Century England is taken in by a rural couple with three handsome sons, tragic consequences result.",1995
6520,First Knight,"['action', 'adventure', 'drama', 'romance']",134.0,5.9,319.0,"The timeless tale of King Arthur and the legend of Camelot are retold in this passionate period drama. Arthur is reluctant to hand the crown to Lancelot, and Guinevere is torn between her loyalty to her husband and her growing love for his rival. But Lancelot must balance his loyalty to the throne with the rewards of true love.",1995
9073,Free Willy 2 - The Adventure Home,['adventure'],95.0,5.5,130.0,Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,1995
10428,Hackers,"['action', 'crime', 'thriller', 'drama']",107.0,6.2,406.0,"Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus.",1995
17447,Jeffrey,"['comedy', 'drama', 'romance']",92.0,6.5,19.0,"Jeffery, a young gay man in New York, decides that sex is too much and decided to become celibate. He immediately meets the man of his dreams and must decide whether or not love is worth the danger of a boyfriend dying.",1995
9886,Johnny Mnemonic,"['adventure', 'action', 'drama', 'science fiction', 'thriller']",97.0,5.5,380.0,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.  In a dystopian 2021, Johnny (Keanu Reeves) is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits - and will kill him if the data is not removed in time - but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.",1995
9482,Judge Dredd,['science fiction'],96.0,5.4,643.0,"In a dystopian future, Dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes.",1995
19326,Jury Duty,"['comedy', 'drama']",88.0,4.0,34.0,"When jobless Tommy Collins discovers that sequestered jurors earn free room and board as well as $5-a-day, he gets himself assigned to a jury in a murder trial. Once there, he does everything he can to prolong the trial and deliberations and make the sequestration more comfortable for himself.",1995
9344,Kids,"['drama', 'crime']",91.0,6.8,280.0,"A controversial portrayal of teens in New York City which exposes a deeply disturbing world of sex and substance abuse. The film focuses on a sexually reckless, freckle-faced boy named Telly, whose goal is to have sex with as many different girls as he can. When Jenny, a girl who has had sex only once, tests positive for HIV, she knows she contracted the disease from Telly. When Jenny discovers that Telly's idea of ""safe sex"" is to only have sex with virgins, and is continuing to pass the disease onto other unsuspecting girls, Jenny makes it her business to try to stop him.",1995
9071,Living in Oblivion,"['drama', 'comedy']",89.0,7.2,64.0,Film about filmmaking. It takes place during one day on set of non-budget movie. Ultimate tribute to all independent filmmakers.,1995
8973,Lord of Illusions,"['mystery', 'horror', 'thriller']",119.0,5.9,87.0,"During a routine case in L.A., NY private investigator Harry D'Amour stumbles over members of a fanatic cult who are preparing for the resurrection of their leader Nix, a powerful magician who was killed 13 years earlier.",1995
15730,Love & Human Remains,"['comedy', 'drama']",100.0,7.0,7.0,"Dreary urban landscape of an anonymous Canadian city. Dark comedy about a group of twentysomethings looking for love and meaning in the '90s. The film focuses on roommates David, a gay waiter who has has given up on his acting career, and Candy, a book reviewer who is also David's ex-lover. David and Candy's lives are entangled with those of David's friends and Candy's dates.",1993
47608,Mad Love,"['drama', 'family', 'romance']",95.0,5.5,27.0,"Matt falls for Casey, the new girl in school. She's fun-loving and eccentric, but there's a darkness to her whimsy that Matt can't begin to comprehend. When Casey attempts to commit suicide, her parents place her in a mental institution. Matt springs her out, and together the young lovers head on a road trip. They believe their love can ""cure"" Casey's problems. Matt starts to wonder, though, if are they inspired or misguided.",1995
2293,Mallrats,"['romance', 'comedy']",94.0,6.8,400.0,"Both dumped by their girlfriends, two best friends seek refuge in the local mall.",1995
9070,Mighty Morphin Power Rangers: The Movie,"['action', 'adventure', 'science fiction', 'family', 'fantasy']",92.0,5.2,153.0,"Power up with six incredible teens who out-maneuver and defeat evil everywhere as the Mighty Morphin Power Ranger, But this time the Power Rangers may have met their match, when they face off with the most sinister monster the galaxy has ever seen.",1995
68274,Moonlight and Valentino,"['comedy', 'drama', 'romance']",100.0,5.6,10.0,Four women who discover untapped strength within themselves when they finally let go of what divides them,1995
48787,Mute Witness,"['thriller', 'foreign']",95.0,6.4,36.0,"Billy is mute, but it hasn't kept her from becoming a successful makeup artist. While in Russia, working on a film directed by her sister's boyfriend, Andy, Billy finds herself trapped in the studio one night and is horrified to see a snuff film being made. Billy escapes and, with the help of her sister, Kate, alerts authorities about what she saw. Unfortunately, in doing so, she makes an enemy of the Russian mafia, who funded the snuff film.",1995
34574,Nadja,"['horror', 'thriller']",93.0,5.9,12.0,"This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being hunted by Dr. Van Helsing and his hapless nephew. As in all good vampire movies, forces of love are pitted against forces of destruction.",1994
1642,The Net,"['crime', 'drama', 'mystery', 'thriller', 'action']",114.0,5.6,359.0,"Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down. While on vacation in Mexico, her purse is stolen. She soon finds that people and events may not be what they seem as she becomes the target of an assassination. Her vacation is ruined.  She gets a new passport at the U.S. Embassy in Mexico but it has the wrong name, Ruth Marx. When she returns to the U.S. to sort things out, she discovers that Ruth Marx has an unsavory past and a lengthy  police record. To make matters worse, another person has assumed her real identity ...",1995
11472,Nine Months,['comedy'],103.0,5.5,171.0,"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.",1995
36196,Party Girl,['comedy'],94.0,5.8,14.0,"Although Mary has little income, she still finds ways to spend her nights at clubs. After being arrested for throwing an illegal rave, she asks her aunt Judy for bail money. Judy then finds Mary a job at her library so that Mary can repay her. Initially, Mary finds the job as a clerk boring and stifling, and prefers to get to know a street food vendor whom she likes. However, Mary must refocus her life once she loses her job and apartment.",1995
11980,The Prophecy,"['fantasy', 'horror', 'thriller']",98.0,6.4,139.0,"The angel Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven, and only a former priest and a little girl can stop him.",1995
58372,Reckless,"['fantasy', 'comedy', 'drama']",91.0,10.0,1.0,"On Christmas eve, a relentlessly cheerful woman escapes from the killers hired by her husband, and embarks on a series of strange encounters.",1995
32646,Safe,['drama'],119.0,7.2,62.0,"Carol, a typical upper middle-class housewife, begins to complain of vague symptoms of illness. She ""doesn't feel right,"" has unexplained headaches, congestion, a dry cough, nosebleeds, vomiting, and trouble breathing. Her family doctor treats her concerns dismissively and suggests a psychiatrist. Eventually, an allergist tells her that she has Environmental Illness.",1995
10533,The Scarlet Letter,"['drama', 'history', 'romance']",135.0,5.5,111.0,"Set in puritanical Boston in the mid 1600s, the story of seamstress Hester Prynne, who is outcast after she becomes pregnant by a respected reverend. She refuses to divulge the name of the father, is ""convicted"" of adultery and forced to wear a scarlet ""A"" until an Indian attack unites the Puritans and leads to a reevaluation of their laws and morals.",1995
56088,The Show,['documentary'],93.0,5.3,2.0,"A documentary about the culture of hip-hop. Through interviews with some of hip-hops biggest names, the film makers attempt to find out why it has become so popular.",1995
10802,Showgirls,['drama'],128.0,4.9,261.0,A young drifter named Nomi arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become a top showgirl.,1995
10149,Smoke,"['comedy', 'drama']",112.0,7.2,115.0,"Writer Paul Benjamin is nearly hit by a bus when he leaves Auggie Wren's smoke shop. Stranger Rashid Cole  saves his life, and soon middle-aged Paul tells homeless Rashid that he wouldn't mind a short-term housemate. Still grieving over his wife's murder, Paul is moved by both Rashid's quest to reconnect with his father and Auggie's discovery that a woman who might be his daughter is about to give birth.",1995
18402,Something to Talk About,['comedy'],106.0,5.7,60.0,"In one of her best-ever roles, Julia Roberts is Grace, whose reaction to the infidelities of Eddie (Dennis Quaid) turns the lives and loves of the people around her into something like falling dominoes. Robert Duvall, Gena Rowlands, Kyra Sedgwick and others in ""the year's best ensemble of characters"" (Jack Matthews, 'Newsday') co-star in this juicy, truthful story written by Callie Khouri",1995
9348,Species,"['science fiction', 'horror', 'action']",108.0,5.5,457.0,"In 1993, the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye.",1995
139408,The Stars Fell on Henrietta,['drama'],109.0,6.6,6.0,"The setting is early America during the oil boom. An elderly, down on his luck 'oil man', Mr. Cox finds himself in the town of Henrietta. Using unconventional methods, he convinces himself and local Don Day that there is oil on Day's land. The financially strapped Day puts everything into finding oil...but at what cost?",1995
281,Strange Days,"['crime', 'drama', 'science fiction', 'thriller']",145.0,6.8,334.0,"Set in the year 1999 during the last days of the old millennium, the movie tells the story of Lenny Nero, an ex-cop who now deals with data-discs containing recorded memories and emotions. One day he receives a disc which contains the memories of a murderer killing a prostitute. Lenny investigates and is pulled deeper and deeper in a whirl of blackmail, murder and rape. Will he survive and solve the case?",1995
5967,The Umbrellas of Cherbourg,"['drama', 'romance']",91.0,7.6,119.0,"This simple romantic tragedy begins in 1957. Guy Foucher, a 20-year-old French auto mechanic, has fallen in love with 17-year-old Geneviève Emery, an employee in her widowed mother's chic but financially embattled umbrella shop. On the evening before Guy is to leave for a two-year tour of combat in Algeria, he and Geneviève make love. She becomes pregnant and must choose between waiting for Guy's return or accepting an offer of marriage from a wealthy diamond merchant.",1964
79593,The Tie That Binds,['thriller'],99.0,4.6,9.0,John Netherwood and his wife Leann are fugitives who are both wanted for murder. They have a young daughter named Janie and they want her back.,1995
47939,Three Wishes,"['drama', 'fantasy']",115.0,6.1,18.0,"While Jane Holman (Mastrantonio) is driving with her two sons, she accidentally runs into a drifter, Jack McCloud (Swayze), who breaks his leg. Being responsible,  Jane invites Jack, and his dog, to stay at her home until his leg has healed.  Jack struggles to adapt their lifestyle, and finds himself loved by the family. He starts teaching baseball to Tom, who misses his father, who was lost in the Korean war. Jack and Tom develop a strong bond of friendship. Meanwhile, Gunny believes that there is more to Jack and Betty Jane than meets the eye...  We learn that Jack, is Jack McCloud, a Star White Socks baseball player in 1941, who dropped out of the league, after his first season, and; ""was never heard from again"" ...  A wonderful story.  We witness magic between a boy's imagination, and Jack's dog, and are never sure if we are witnessing imagination or magic by the dog.  A story of friendship, family, and learning that life isn't always as cut and dried as we often believe.",1995
36834,Total Eclipse,"['drama', 'romance']",111.0,6.5,112.0,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.",1995
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",['comedy'],105.0,6.3,117.0,"Three New York drag queens on their way to Hollywood for a beauty pageant get stranded in a small Midwestern town for the entire weekend when their car breaks down. While waiting for parts for their Cadillac convertible, the flamboyant trio shows the local homophobic rednecks that appearing different doesn't mean they don't have humanity in common.",1995
3512,Under Siege 2: Dark Territory,"['action', 'thriller']",100.0,5.6,217.0,"A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback.",1995
52856,Unstrung Heroes,"['comedy', 'drama', 'family']",93.0,6.4,9.0,"Steven Lidz, unhappy with his home life since his mother got sick, goes and lives with his two crazy Uncles. There he changes and gets closer to his Uncles, but his parents want him home even though he is finally happy and popular. Written by Todd Weiser",1995
77350,Unzipped,['documentary'],73.0,6.0,6.0,"Using a variety of cinematographic techniques, the world of high- profile fashion designer Issac Mizrahi is portrayed as being driven by excitement and creativity, despite the concomitant chaos and cacophony. Mizrahi's frenzied genius and rollercoaster emotions paint a humorous and personal portrait of a brilliant designer. Famous ""SuperModels"", actors, and actresses populate Issac's rarified world, but Douglas Keeve's cameras capture the stress and turbulence beneath the placid coolness of glamour. Written by Tad Dibbern",1995
9560,A Walk in the Clouds,"['drama', 'romance']",103.0,6.5,168.0,World War II vet Paul Sutton falls for a pregnant and unwed woman who persuades him -- during their first encounter -- to pose as her husband so she can face her family.,1995
9804,Waterworld,"['adventure', 'action']",135.0,5.9,1017.0,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland' – which is tattooed on Enola's back.",1995
31611,White Man's Burden,['drama'],89.0,5.1,25.0,"The story takes place in alternative America where the blacks are members of social elite, and whites are inhabitants of inner city ghettos. Louis Pinnock is a white worker in a chocolate factory, loving husband and father of two children. While delivering a package for black CEO Thaddeus Thomas, he is mistaken for a voyeur and, as a result, loses his job, gets beaten by black cops and his family gets evicted from their home. Desperate Pinnock takes a gun and kidnaps Thomas, demanding justice.",1995
65796,Wild Bill,"['action', 'western']",98.0,5.9,27.0,Biopic about famous gunslinger Wild Bill Hickock. The early career of legendary lawman is telescoped and culminates in his relocation in Deadwood and a reunion with Calamity Jane.,1995
49805,The Browning Version,['drama'],97.0,6.0,11.0,"Andrew Crocker-Harris is an embittered and disliked teacher of Greek and Latin at a British prep school. After nearly 20 years of service, he is being forced to retire on the pretext of his health, and perhaps may not even be given a pension. The boys regard him as a Hitler, with some justification. His wife Laura is unfaithful, and lives to wound him any way she can. Andrew must come to terms with his failed life and regain at least his own self-respect.",1994
26258,Bushwhacked,"['adventure', 'action', 'comedy', 'crime', 'family']",90.0,4.9,29.0,"A inept courier realises he has been used by criminals to deliver money. On the run from both the criminals and police, he poses as a Scout leader and leads a scout group on a hike through the mountains.",1995
50797,Burnt by the Sun,['drama'],135.0,6.7,35.0,"Russia, 1936: revolutionary hero Colonel Kotov is spending an idyllic summer in his dacha with his young wife and six-year-old daughter Nadia and other assorted family and friends. Things change dramatically with the unheralded arrival of Cousin Dmitri from Moscow, who charms the women and little Nadia with his games and pianistic bravura. But Kotov isn't fooled: this is the time of Stalin's repression, with telephone calls in the middle of the night spelling doom - and he knows that Dmitri isn't paying a social call...",1994
19155,Before the Rain,"['drama', 'war']",113.0,7.7,45.0,"The circularity of violence seen in a story that circles on itself. In Macedonia, during war in Bosnia, Christians hunt an ethnic Albanian girl who may have murdered one of their own. A young monk who's taken a vow of silence offers her protection. In London, a photographic editor who's pregnant needs to talk it out with her estranged husband and chooses a toney restaurant.",1994
76,Before Sunrise,"['drama', 'romance']",105.0,7.7,984.0,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",1995
11017,Billy Madison,['comedy'],89.0,6.2,464.0,"Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business.",1995
37141,The Babysitter,"['drama', 'thriller']",90.0,4.7,27.0,"Jennifer (Alicia Silverstone) is a lovely teen who has been hired to baby-sit the kids of Harry Tucker (J.T. Walsh) and his wife, Dolly (Lee Garlington). The Tuckers go to a party and proceed to get inebriated, with Mr. Tucker fantasizing about his beautiful baby sitter. Meanwhile, Jack (Jeremy London), her boyfriend, and Mark (Nicky Katt), another guy interested in her, decide to spy on Jennifer at the Tucker house, with each young man also fixated on her.",1995
9382,Boys on the Side,"['comedy', 'drama']",115.0,6.3,48.0,"After breaking up with her girlfriend, a nightclub singer, Jane, answers a personal ad from Robin, a real estate agent with AIDS, seeking a cross-country travel partner. On their journey from New York City to Los Angeles, the two stop by Pittsburgh to pick up Robin's friend Holly, who is trying to escape an abusive relationship. With three distinct personalities, the women must overcome their differences to help one another.",1995
6715,The Cure,"['drama', 'family']",97.0,7.2,58.0,"Dexter, age 11, who has AIDS, and his next door neighbor Eric, a little older and much bigger, become best friends. Eric also becomes closer to Dexter's mother than to his own, who is neglectful and bigoted and violently forbids their friendship upon learning of it. Dexter and Erik start the journey to find ""The Cure"" they had read about in the local newspaper.",1995
18256,Castle Freak,"['thriller', 'drama', 'horror', 'mystery']",95.0,5.8,40.0,John has inherited a castle and Italy and he moves there with his wife Susan and their blind daughter Rebecca. What they don't realize is that there is somebody else in the castle. An abused child left to die in the basement who has now become the castle freak and is out to wreak havoc.,1995
22625,Circle of Friends,"['drama', 'family', 'romance']",103.0,6.5,30.0,"'Circle Of Friends' is set in 1950's Ireland. The movie focuses on Benny Hogan and her best friend, Eve Malone. The story centers around Benny and Eve as they enter student life at University College, Dublin. Here Benny and Eve reunite with their childhood friend, the ice-cool Nan Mahon, the 'college belle'. They also encounter the handsome and charming Jack Foley, whom Benny quickly falls for.",1995
2292,Clerks,['comedy'],92.0,7.4,769.0,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",1994
1909,Don Juan DeMarco,"['romance', 'drama', 'comedy']",97.0,6.3,184.0,"John Arnold DeMarco is a man who believes he is Don Juan, the greatest lover in the world. Clad in a cape and mask, DeMarco undergoes psychiatric treatment with Dr. Jack Mickler to cure him of his apparent delusion. But the psychiatric sessions have an unexpected effect on the psychiatric staff and, most profoundly, Dr Mickler, who rekindles the romance in his complacent marriage.",1994
8984,Disclosure,"['drama', 'thriller', 'crime', 'mystery', 'romance']",123.0,5.9,217.0,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",1994
61813,Dream Man,['thriller'],0.0,2.5,1.0,"Kris is a homicide cop with psychic abilities. She works to prove that the prime suspect in her latest case (the much younger husband of the millionaire victim) is innocent. But are her visions true, or planned by someone who knows what she can see?",1995
4954,Drop Zone,"['action', 'adventure', 'thriller']",101.0,5.1,91.0,A team of skydiving crooks led by DEA-agent-turned-bad Ty Moncrief (Busey) specialize in landing on police roofs and breaking in so their evil computer nerd can steal undercover agents' files and sell them to drug lords. Federal Marshal Pete Nessip (Snipes) lost a brother to this crew and learns skydiving with the help of tough-but-lovable instructor Jessie Crossmann (Butler) so he can track them down.,1994
62488,Destiny Turns on the Radio,"['crime', 'comedy', 'fantasy']",0.0,5.3,9.0,"Johnny Destiny burns into Las Vegas in his hot Plymouth RoadRunner, stopping only to pick up a stranger stranded in the desert. But then, things aren't always as they seem. Anything can happen in that town of many possibilities...especially since there's been some weird electrical disturbances. As the stranger, fresh out of prison, tries to put his life back together--to recover his money from an old bank heist and the girl he lost in doing the job--something keeps interfering with his plans. Is it fate...or just Destiny?",1995
10531,Death and the Maiden,"['drama', 'thriller', 'mystery']",103.0,7.1,92.0,A political activist is convinced that her guest is a man who once tortured her for the government.,1994
11929,Dolores Claiborne,"['crime', 'drama', 'mystery']",132.0,7.1,183.0,"Dolores Claiborne was accused of killing her abusive husband twenty years ago, but the court's findings were inconclusive and she was allowed to walk free. Now she has been accused of killing her employer, Vera Donovan, and this time there is a witness who can place her at the scene of the crime. Things look bad for Dolores when her daughter Selena, a successful Manhattan magazine writer, returns to cover the story.",1995
8467,Dumb and Dumber,['comedy'],107.0,6.5,1894.0,"Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart.",1994
10451,Eat Drink Man Woman,"['comedy', 'drama', 'romance']",123.0,7.5,76.0,"The film tells the story of a retired and widowed Chinese master chef Chu (Si Hung Lung) and his family living in modern day Taipei, Taiwan. At the start of the film, he lives with his three attractive daughters, all of whom are unattached. As the film progresses, each of the daughters encounters new men in their lives. When these new relationships blossom, the stereotypes are broken and the living situation within the family changes.. The film features several scenes displaying the techniques and artistry of gourmet Chinese cooking. Since the family members have difficulty expressing their love for each other, the intricate preparation of banquet quality dishes for their Sunday dinners is the surrogate for their familial feelings.",1994
20156,Exotica,"['drama', 'mystery']",103.0,6.5,64.0,"In the upscale Toronto strip club Exotica, dancer Christina is visited nightly by the obsessive Francis, a depressed tax auditor. Her ex-boyfriend, the club's MC, Eric, still jealously pines for her even as he introduces her onstage, but Eric is having his own relationship problems with the club's owner, Zoe. Meanwhile Thomas, a mysterious pet-shop owner, is about to become unexpectedly involved in their lives. Gradually, connections between the traumatic pasts of these characters are revealed.",1994
18395,Exit to Eden,"['thriller', 'comedy', 'crime', 'romance']",113.0,4.3,28.0,"Elliot is going to the island of Eden to live out his submissive fantasies, but inadvertently photographs diamond smugglers at work. Smugglers, and detectives, follow him to the island, where they try to retrieve the film. Elliot begins falling in love with Lisa, the head mistress of the island, and Lisa must evaluate her feelings about Elliot and her own motivations.",1994
522,Ed Wood,"['comedy', 'drama', 'history']",127.0,7.3,639.0,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",1994
397,French Kiss,"['comedy', 'romance']",111.0,6.2,179.0,French Kiss is director Kasdan’s best film since the Bodyguard. The plot involves a couple in love and one woman’s attempt to fly to Paris to get her lover back from a business trip and marry him. On the way she unknowingly smuggles something of value that has a petty thief chasing her across France as she chases after her future husband.,1995
10525,Forget Paris,"['comedy', 'drama', 'romance']",101.0,6.1,38.0,"Mickey Gordon is a basketball referee who travels to France to bury his father. Ellen Andrews is an American living in Paris who works for the airline he flies on. They meet and fall in love, but their relationship goes through many difficult patches. The story is told in flashback by their friends at a restaurant waiting for them to arrive.",1995
27985,Far from Home: The Adventures of Yellow Dog,"['action', 'adventure', 'drama', 'family']",87.0,5.6,27.0,"Teenager Angus adopts a stray dog and names him Yellow. Several days later, while travelling along the coast of British Columbia with Angus's father, John, the boy and dog become stranded when turbulent waters capsize their boat. Angus's parents relentlessly badger rescue teams. Angus, schooled by his father in wilderness survival skills, and assisted by the intelligent Yellow Dog, tries to attract rescuers.",1995
15789,A Goofy Movie,"['romance', 'animation', 'family', 'comedy', 'adventure']",78.0,6.7,404.0,"Though Goofy always means well, his amiable cluelessness and klutzy pratfalls regularly embarrass his awkward adolescent son, Max. When Max's lighthearted prank on his high-school principal finally gets his longtime crush, Roxanne, to notice him, he asks her on a date. Max's trouble at school convinces Goofy that he and the boy need to bond over a cross-country fishing trip like the one he took with his dad when he was Max's age, which throws a kink in his son's plans to impress Roxanne.",1995
27303,Hideaway,"['drama', 'thriller']",103.0,5.0,24.0,"Hatch Harrison, his wife, Lindsey, and their daughter, Regina, are enjoying a pleasant drive when a car crash leaves wife and daughter unharmed but kills Hatch. However, an ingenious doctor, Jonas Nyebern, manages to revive Hatch after two lifeless hours. But Hatch does not come back unchanged. He begins to suffer horrible visions of murder -- only to find out the visions are the sights of a serial killer.",1995
21183,Fluke,"['drama', 'family', 'fantasy']",96.0,6.6,48.0,"Workaholic Thomas Johnson dies in an auto accident and comes back to life as a dog. Remembering some of who he was, he returns to his wife and son to protect them from the man who caused his accident. But, as time goes by, he remembers more of his life, and realizes he wasn't such a good husband and father.",1995
10954,Farinelli,"['history', 'drama']",111.0,5.9,20.0,"Farinelli is a 1994 biopic film about the life and career of Italian opera singer Farinelli, considered one of the greatest castrato singers of all time.",1994
47867,Gordy,"['drama', 'family', 'fantasy']",90.0,3.0,4.0,A talking pig named Gordy becomes involved in a quest to save his family from the slaughterhouse.,1995
